sample_name,type
2017_047_S7_L002,flf
2017_111_S4_L002,flf
2018_067_S3_L002,flf
2018_072_S6_L002,flf
2018_097_S2_L002,flf
2019_046_S47_L001,flf
2019_052_S1_L002,flf
2019_075_merged,flf
2019_082_merged,flf
2019_093_S5_L002,flf
2016_021_S46_L001,mlf
2017_002_merged,mlf
2018_007_merged,mlf
2018_014_merged,mlf
2018_034_merged,mlf
2019_045_merged,mlf
2019_054_merged,mlf
2022_084_merged,mlf
2022_099_merged,mlf
2022_106_merged,mlf
2015_029_S16_L002,mlm
2016_010_S13_L002,mlm
2016_028_S18_L002,mlm
2017_127_S15_L002,mlm
2018_012_S17_L002,mlm
2019_009_S14_L002,mlm
2019_016_S11_L002,mlm
2019_025_S10_L002,mlm
2019_087_S12_L002,mlm
2019_110_S9_L002,mlm